Mittente,Destinatario,Contenuto messaggio,Data,Bozza (Sì/No)
Leon Black,Jeffrey Epstein,Ho bisogno che i tuoi ragazzi rivedano il trust per Apollo. Possiamo risparmiare altri 50M?,12 Mag 2013,No
Jeffrey Epstein,Larry Summers,Ottima cena. Il tuo contributo alla ricerca genetica è fondamentale. Ti invio il bonifico domani.,14 Giu 2006,No
Bill Gates,Jeffrey Epstein,"Il tuo stile di vita è intrigante, anche se non farebbe per me.",2011,No
Noam Chomsky,Jeffrey Epstein,Confermo cena per discutere di affari mondiali e politica internazionale a Manhattan.,15 Mar 2015,No
Jeffrey Epstein,Ghislaine Maxwell,"Dì al pilota che il Gulfstream deve fare la revisione in Florida, non a NY. Tasse più basse.",02 Feb 2009,No
Woody Allen,Jeffrey Epstein,RSVP positivo per la cena di gruppo nella residenza sulla 71esima strada.,Ott 2013,No
Jeffrey Epstein,Peter Thiel,Interessato alla tua ricerca sulla longevità. Parliamo di finanziamenti la prossima settimana.,12 Lug 2014,Sì
Marvin Minsky,Jeffrey Epstein,Discussione tecnica su AI e simposio scientifico da organizzare sull'isola.,Ago 2002,No
Jeffrey Epstein,Prince Andrew,Ho visto la nota. Possiamo risolvere la questione logistica per il viaggio in Asia senza problemi.,10 Gen 2011,Sì
Jes Staley,Jeffrey Epstein,Dobbiamo parlare del posizionamento di JP Morgan nel mercato asiatico. Vieni in ufficio?,22 Nov 2010,No
Jeffrey Epstein,Bill Clinton,Messaggio di auguri e invito a un evento di beneficenza (mai inviato ufficialmente).,Gen 2003,Sì
Ehud Barak,Jeffrey Epstein,Grazie per l'ospitalità. Le connessioni che hai fornito sono state estremamente utili.,05 Mag 2014,No
Sergei Brin,Jeffrey Epstein,Breve scambio su una donazione proposta per un laboratorio di ricerca californiano.,Giu 2007,No
Jeffrey Epstein,Se stesso (Nota),Ricordarsi di spostare i fondi delle Isole Vergini verso il nuovo account fiduciario entro venerdì.,18 Set 2017,Sì
Segreteria MIT,Jeffrey Epstein,Confermiamo la ricezione dei fondi anonimi per il Media Lab. Grazie per il supporto.,2012,No
Jeffrey Epstein,Thomas Pritzker,Discussione su potenziali investimenti immobiliari e partnership commerciali.,Feb 2014,No
Melania Trump,Ghislaine Maxwell,"Messaggio di saluto amichevole che terminava con 'Love, Melania'.",Ottobre 2002,No
'A' (Balmoral),Ghislaine Maxwell,Chiede come va a LA e aggiunge: 'Mi hai trovato qualche nuova amicizia poco raccomandabile?',Agosto 2001,No
Jeffrey Epstein,Bill Gates,Richiesta di antibiotici e riferimenti a una disputa matrimoniale.,Luglio 2013,Sì
Brad Karp (Avvocato),Jeffrey Epstein,Discussione sulle opzioni legali per far arrestare o espellere una donna ('GG') dagli USA.,Agosto 2015,No
Steve Tisch,Jeffrey Epstein,Richiesta di informazioni su una ragazza incontrata ('pro o civile?').,Aprile 2013,No
Al Seckel,Jeffrey Epstein,Discussione sulla modifica della pagina Wikipedia di Epstein per rimuovere il termine 'sex offender'.,Fine 2010,No
